aid;company;keyword_list;language;seperator
3590-black-charcoal-XXL;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-fire red-charcoal-M;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-black-charcoal-XL;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-black-charcoal-S;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-black-charcoal-M;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-black-charcoal-L;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-black-charcoal-5XL;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-black-charcoal-4XL;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-white-charcoal-M;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-black-charcoal-XXXL;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-navy-charcoal-M;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-navy-charcoal-XXL;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-navy-charcoal-XS;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-fire red-charcoal-5XL;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-navy-charcoal-S;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-fire red-charcoal-XXXL;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-navy-charcoal-L;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-navy-charcoal-5XL;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-navy-charcoal-4XL;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-forest-charcoal-XXXL;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-forest-charcoal-XS;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-forest-charcoal-XL;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-forest-charcoal-S;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-forest-charcoal-4XL;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-forest-charcoal-M;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-forest-charcoal-L;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-forest-charcoal-5XL;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-forest-charcoal-XXL;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
3590-navy-charcoal-XL;0;"t-shirt;tshirt;t-shirts;sport;sports;cooldry;mann;männer";de;,
4020-steel grey-4XL;0;"poloshirts;polohemden;damen;lady;ladies;woman;girly;shirts;frauen";de;,
4020-steel grey-XXXL;0;"poloshirts;polohemden;damen;lady;ladies;woman;girly;shirts;frauen";de;,
4020-steel grey-XXL;0;"poloshirts;polohemden;damen;lady;ladies;woman;girly;shirts;frauen";de;,
